"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group D","high school","standard","none","39","42","45"
"male","group C","master's degree","standard","completed","74","71","77"
"female","group C","some college","standard","none","50","57","52"
"female","group D","associate's degree","standard","none","56","61","59"
"male","group D","associate's degree","standard","none","81","68","76"
"female","group B","high school","free/reduced","none","26","48","41"
"male","group C","associate's degree","free/reduced","none","83","82","74"
"female","group C","associate's degree","standard","none","96","95","95"
"female","group B","master's degree","standard","none","72","84","78"
"male","group C","some college","free/reduced","none","33","37","34"
"female","group A","high school","standard","completed","34","60","58"
"female","group E","associate's degree","standard","none","88","96","90"
"male","group D","some college","standard","none","77","68","71"
"female","group B","bachelor's degree","free/reduced","none","70","75","77"
"male","group E","master's degree","standard","none","100","95","96"
"male","group C","associate's degree","standard","none","63","55","51"
"female","group D","some high school","standard","none","66","73","79"
"female","group A","associate's degree","standard","none","51","69","64"
"female","group D","associate's degree","free/reduced","completed","70","73","81"
"female","group C","some high school","standard","none","63","68","66"
"female","group C","some high school","standard","completed","73","84","85"
"male","group C","some high school","standard","none","65","63","54"
"male","group B","high school","standard","none","69","68","63"
"female","group A","master's degree","free/reduced","completed","55","63","64"
"male","group B","high school","standard","completed","49","45","52"
"female","group B","master's degree","free/reduced","completed","49","61","73"
"female","group B","some high school","free/reduced","completed","41","54","64"
"male","group B","bachelor's degree","standard","completed","62","56","60"
"female","group C","some high school","standard","none","58","56","60"
"male","group E","master's degree","standard","none","87","72","76"
"female","group E","some high school","free/reduced","none","68","70","66"
"female","group E","associate's degree","free/reduced","none","67","66","66"
"male","group B","associate's degree","standard","completed","88","85","88"
"female","group C","some high school","standard","none","55","70","60"
"female","group A","bachelor's degree","free/reduced","none","60","66","65"
"female","group D","some college","standard","completed","97","97","100"
"female","group E","master's degree","standard","completed","92","100","100"
"female","group D","associate's degree","standard","none","46","59","55"
"female","group C","some college","standard","completed","80","100","98"
"male","group D","high school","standard","none","64","57","60"
"male","group C","high school","standard","none","68","72","66"
"female","group C","some college","standard","completed","71","80","76"
"male","group B","bachelor's degree","standard","completed","68","62","61"
"male","group C","associate's degree","standard","none","58","52","52"
"female","group A","some college","standard","completed","77","74","81"
"female","group B","some college","standard","none","53","72","63"
"male","group D","bachelor's degree","free/reduced","none","75","76","69"
"female","group B","high school","standard","none","68","80","76"
"female","group B","some high school","free/reduced","completed","79","88","85"
"female","group C","associate's degree","standard","none","56","62","62"
"female","group B","some college","standard","none","77","89","82"
"female","group B","some college","standard","none","43","60","58"
"female","group D","associate's degree","standard","none","47","52","55"
"female","group C","high school","standard","none","73","79","76"
"male","group B","high school","free/reduced","none","52","53","47"
"female","group D","master's degree","free/reduced","none","78","90","84"
"female","group E","associate's degree","standard","none","80","100","100"
"female","group D","some high school","standard","none","78","74","81"
"female","group C","some high school","standard","completed","72","74","76"
"male","group C","bachelor's degree","standard","none","83","79","76"
"male","group C","high school","standard","none","75","57","55"
"female","group C","some high school","free/reduced","completed","55","71","71"
"female","group E","high school","standard","completed","60","63","66"
"female","group E","associate's degree","standard","none","91","99","92"
"male","group C","some high school","free/reduced","none","49","55","45"
"female","group C","some high school","free/reduced","none","54","70","64"
"female","group B","some college","standard","none","70","72","72"
"female","group A","master's degree","standard","completed","85","100","100"
"female","group C","master's degree","standard","completed","66","86","80"
"female","group C","some high school","free/reduced","none","49","53","53"
"male","group D","high school","standard","completed","66","63","61"
"male","group D","bachelor's degree","standard","completed","98","96","100"
"male","group D","master's degree","standard","completed","100","98","100"
"male","group A","associate's degree","standard","none","54","52","51"
"female","group E","bachelor's degree","standard","none","93","100","96"
"female","group C","some college","free/reduced","completed","69","86","79"
"female","group D","some college","standard","completed","38","52","57"
"male","group C","high school","standard","completed","62","56","56"
"female","group C","some high school","standard","none","58","61","64"
"male","group C","some college","free/reduced","completed","47","51","49"
"female","group B","some college","standard","completed","90","100","100"
"male","group A","associate's degree","standard","completed","99","98","97"
"male","group D","some high school","standard","none","87","77","75"
"male","group D","bachelor's degree","standard","none","58","54","48"
"male","group D","associate's degree","standard","completed","92","79","81"
"male","group B","some high school","standard","none","57","53","46"
"female","group B","some college","standard","none","52","52","52"
"male","group C","high school","free/reduced","none","52","50","49"
"male","group D","some high school","standard","none","87","83","72"
"female","group E","master's degree","standard","none","86","87","83"
"female","group B","master's degree","standard","completed","96","100","100"
"male","group B","some high school","standard","completed","62","55","62"
"male","group D","some college","standard","none","50","49","44"
"female","group C","high school","standard","completed","56","73","67"
"female","group C","high school","standard","completed","67","64","72"
"male","group B","some college","free/reduced","none","38","43","38"
"male","group D","master's degree","standard","completed","94","92","97"
"female","group B","high school","standard","none","63","70","74"
"female","group C","master's degree","standard","completed","71","78","80"
"male","group D","bachelor's degree","standard","none","81","75","77"
"male","group C","some high school","standard","none","93","78","72"
"male","group B","associate's degree","standard","none","87","82","76"
"female","group B","some college","standard","none","73","77","77"
"male","group A","some high school","standard","none","57","52","47"
"female","group C","high school","free/reduced","none","53","69","61"
"female","group D","associate's degree","standard","completed","78","88","83"
"female","group C","associate's degree","standard","none","81","94","86"
"male","group D","associate's degree","free/reduced","completed","45","55","53"
"female","group E","associate's degree","standard","completed","72","74","72"
"female","group D","some high school","standard","completed","59","64","69"
"male","group A","some high school","standard","none","69","62","58"
"female","group C","high school","standard","completed","59","72","69"
"male","group E","high school","free/reduced","none","68","69","60"
"male","group D","associate's degree","free/reduced","none","79","75","75"
"female","group C","some college","standard","none","61","67","63"
"female","group E","bachelor's degree","free/reduced","completed","70","77","78"
"male","group C","some high school","free/reduced","none","74","65","62"
"male","group E","some high school","standard","completed","73","78","71"
"male","group D","some high school","free/reduced","completed","59","57","60"
"male","group A","some college","standard","none","86","90","85"
"female","group A","bachelor's degree","standard","completed","85","96","100"
"female","group E","high school","standard","none","78","80","81"
"male","group B","some college","standard","completed","84","90","86"
"male","group C","bachelor's degree","free/reduced","completed","60","53","60"
"male","group C","some college","standard","none","65","47","57"
"female","group D","bachelor's degree","standard","none","69","69","71"
"female","group D","some college","standard","none","63","72","79"
"male","group D","associate's degree","free/reduced","none","63","63","63"
"female","group A","high school","standard","none","62","67","63"
"female","group D","some college","free/reduced","none","47","64","60"
"female","group E","high school","standard","none","85","92","93"
"male","group D","bachelor's degree","standard","completed","64","69","66"
"male","group E","some high school","free/reduced","none","58","51","51"
"female","group B","high school","standard","none","47","56","57"
"male","group C","some college","standard","none","74","70","76"
"female","group B","associate's degree","standard","none","71","80","78"
"male","group E","some high school","free/reduced","none","86","70","66"
"female","group A","some high school","standard","none","56","67","66"
"male","group B","associate's degree","standard","none","95","79","83"
"male","group C","some college","standard","none","78","71","67"
"male","group B","some college","standard","completed","100","97","95"
"female","group B","bachelor's degree","free/reduced","completed","65","66","71"
"female","group E","bachelor's degree","standard","completed","74","85","88"
"male","group D","high school","free/reduced","none","29","39","35"
"female","group C","some high school","free/reduced","none","39","51","44"
"female","group C","bachelor's degree","standard","completed","55","58","65"
"male","group E","some college","free/reduced","completed","63","64","65"
"female","group C","bachelor's degree","standard","completed","76","98","100"
"female","group B","some college","standard","none","54","54","56"
"male","group C","associate's degree","free/reduced","completed","65","73","67"
"male","group B","some high school","standard","completed","76","73","73"
"male","group E","some high school","free/reduced","none","63","46","48"
"male","group E","associate's degree","standard","completed","64","53","51"
"male","group A","some high school","standard","none","78","63","61"
"female","group D","master's degree","standard","completed","80","100","100"
"female","group C","some college","free/reduced","completed","64","76","74"
"male","group C","bachelor's degree","standard","none","76","86","82"
"male","group D","some high school","standard","none","92","79","79"
"female","group B","some high school","standard","completed","79","83","85"
"male","group B","bachelor's degree","free/reduced","none","84","85","73"
"male","group E","associate's degree","free/reduced","completed","46","51","47"
"male","group A","bachelor's degree","free/reduced","completed","48","57","57"
"female","group A","some college","standard","none","63","64","65"
"female","group B","bachelor's degree","free/reduced","none","77","93","89"
"female","group D","some college","free/reduced","completed","59","72","69"
"female","group B","some college","standard","none","83","83","85"
"male","group D","some college","free/reduced","none","72","64","64"
"female","group B","some high school","standard","none","42","49","57"
"female","group E","bachelor's degree","standard","none","92","88","85"
"female","group D","some high school","standard","completed","80","87","87"
"male","group C","high school","standard","none","87","89","81"
"female","group E","some college","standard","none","100","97","96"
"male","group E","associate's degree","standard","none","98","90","92"
"female","group D","high school","standard","none","70","85","88"
"male","group D","associate's degree","standard","none","82","83","81"
"male","group B","some high school","standard","completed","68","60","58"
"male","group B","some high school","free/reduced","none","56","48","46"
"female","group A","some high school","standard","none","73","82","78"
"male","group B","high school","standard","none","60","58","54"
"male","group D","some college","standard","none","61","60","56"
"male","group A","some college","free/reduced","none","35","21","21"
"male","group B","high school","standard","none","46","40","39"
"female","group C","associate's degree","free/reduced","none","38","48","48"
"male","group C","high school","standard","completed","70","59","52"
"female","group C","some high school","standard","none","52","65","63"
"male","group C","master's degree","free/reduced","completed","48","57","56"
"male","group B","associate's degree","standard","none","70","63","61"
"male","group A","high school","free/reduced","none","42","48","43"
"male","group C","master's degree","standard","none","73","62","69"
"female","group D","master's degree","standard","completed","86","90","97"
"female","group B","some college","free/reduced","none","63","82","79"
"female","group C","high school","free/reduced","none","36","59","54"
"male","group C","associate's degree","standard","none","64","61","52"
"female","group B","some college","standard","none","56","59","63"
"male","group D","bachelor's degree","standard","none","81","83","79"
"female","group B","some college","free/reduced","none","52","68","68"
"female","group E","some college","free/reduced","none","58","73","73"
"female","group E","bachelor's degree","standard","none","80","83","82"
"female","group B","some college","standard","completed","40","54","52"
"female","group E","some high school","standard","none","73","71","70"
"male","group B","master's degree","standard","none","79","81","82"
"female","group B","master's degree","standard","none","90","87","93"
"male","group C","bachelor's degree","free/reduced","none","78","75","68"
"female","group D","some college","free/reduced","none","50","63","56"
"female","group E","master's degree","standard","completed","91","100","100"
"female","group E","master's degree","free/reduced","none","76","80","79"
"male","group D","high school","standard","completed","79","80","78"
"female","group A","associate's degree","standard","none","72","83","80"
"male","group C","some college","free/reduced","none","71","68","66"
"female","group A","some college","standard","none","50","51","52"
"female","group B","bachelor's degree","standard","none","63","68","65"
"female","group B","some college","standard","completed","80","100","97"
"female","group B","some college","standard","none","62","72","63"
"female","group C","some high school","free/reduced","none","47","56","55"
"female","group D","some college","standard","none","67","72","74"
"female","group D","high school","standard","none","62","70","73"
"female","group D","master's degree","standard","none","66","71","78"
"male","group C","bachelor's degree","free/reduced","none","61","58","53"
"female","group E","some college","standard","none","69","70","64"
"female","group A","associate's degree","free/reduced","none","64","62","66"
"female","group C","high school","standard","none","72","76","76"
"male","group A","some college","standard","none","73","69","68"
"male","group D","high school","standard","completed","56","55","61"
"male","group C","some college","standard","none","71","73","67"
"male","group A","master's degree","standard","none","55","47","46"
"female","group E","bachelor's degree","standard","none","79","77","80"
"female","group B","associate's degree","standard","completed","95","100","100"
"male","group E","associate's degree","standard","completed","61","55","60"
"male","group D","some high school","standard","completed","93","91","94"
"female","group C","bachelor's degree","free/reduced","none","52","58","56"
"female","group A","associate's degree","standard","none","42","62","57"
"female","group C","some high school","standard","none","46","57","47"
"female","group B","some college","standard","completed","76","80","83"
"male","group E","some college","standard","none","100","84","81"
"male","group C","associate's degree","standard","completed","71","75","69"
"female","group A","some high school","standard","none","65","68","68"
"female","group D","high school","free/reduced","none","36","46","40"
"male","group D","high school","standard","none","80","72","69"
"male","group A","some high school","free/reduced","none","74","78","71"
"male","group C","bachelor's degree","standard","completed","90","82","83"
"female","group C","bachelor's degree","free/reduced","completed","66","77","73"
"female","group C","some high school","free/reduced","completed","40","60","54"
"male","group B","master's degree","free/reduced","none","42","42","41"
"female","group D","master's degree","free/reduced","completed","48","70","70"
"female","group C","high school","free/reduced","none","42","59","58"
"female","group A","some high school","free/reduced","none","62","71","69"
"female","group C","some high school","free/reduced","completed","70","78","78"
"male","group D","some college","standard","none","65","72","66"
"female","group E","associate's degree","standard","completed","84","93","98"
"male","group D","master's degree","free/reduced","completed","70","64","70"
"male","group C","high school","standard","none","57","58","55"
"female","group D","bachelor's degree","standard","none","76","80","85"
"male","group D","some high school","standard","none","47","50","46"
"male","group C","some college","standard","none","68","59","56"
"female","group D","associate's degree","standard","completed","87","95","99"
"male","group E","bachelor's degree","standard","completed","75","69","71"
"female","group D","some college","standard","completed","70","77","84"
"female","group D","some high school","standard","none","47","51","57"
"male","group C","some high school","standard","none","63","63","55"
"male","group D","master's degree","free/reduced","none","70","60","63"
"male","group A","high school","standard","completed","78","68","73"
"male","group B","high school","standard","completed","72","70","71"
"male","group A","associate's degree","free/reduced","none","46","40","38"
"female","group E","associate's degree","standard","completed","74","84","81"
"female","group E","high school","free/reduced","none","40","57","44"
"male","group A","some college","free/reduced","completed","58","56","53"
"male","group B","some college","standard","completed","71","81","74"
"male","group C","some high school","free/reduced","none","30","31","25"
"female","group D","high school","standard","completed","78","84","83"
"male","group C","some high school","standard","none","44","51","44"
"female","group D","master's degree","standard","none","84","85","89"
"female","group A","some high school","standard","none","59","64","64"
"male","group E","some college","free/reduced","none","91","90","84"
"male","group C","high school","free/reduced","completed","76","68","69"
"male","group D","some college","standard","completed","75","86","80"
"female","group B","some college","standard","none","60","71","68"
"male","group E","some college","free/reduced","completed","86","84","81"
"male","group B","some high school","standard","none","93","79","76"
"male","group D","master's degree","free/reduced","none","68","67","67"
"female","group D","associate's degree","standard","none","54","70","72"
"male","group A","associate's degree","free/reduced","none","62","59","52"
"male","group C","bachelor's degree","standard","none","73","72","77"
"male","group D","some college","standard","none","70","62","54"
"male","group C","associate's degree","standard","completed","84","73","69"
"male","group B","some high school","standard","none","72","78","73"
"female","group D","associate's degree","standard","completed","84","85","92"
"female","group C","some college","standard","completed","89","92","92"
"female","group C","associate's degree","standard","none","45","48","49"
"male","group D","some high school","standard","none","61","53","57"
"female","group B","high school","standard","none","76","84","81"
"female","group C","some college","free/reduced","none","50","73","72"
"male","group B","some high school","standard","none","76","73","71"
"male","group C","associate's degree","standard","none","69","61","55"
"male","group C","high school","standard","none","56","48","50"
"female","group B","associate's degree","standard","completed","79","88","90"
"male","group B","high school","standard","none","62","53","46"
"male","group C","bachelor's degree","free/reduced","none","66","66","65"
"female","group D","bachelor's degree","standard","none","50","49","53"
"male","group D","associate's degree","free/reduced","completed","82","87","84"
"female","group D","associate's degree","standard","none","47","62","63"
"male","group C","master's degree","standard","completed","51","52","54"
"female","group D","high school","standard","none","67","63","69"
"male","group C","associate's degree","free/reduced","none","70","70","63"
"male","group E","high school","standard","completed","88","91","86"
"female","group D","some college","standard","none","84","100","97"
"male","group E","master's degree","standard","completed","72","67","65"
"male","group D","some college","standard","completed","76","66","66"
"male","group C","bachelor's degree","free/reduced","none","85","84","86"
"male","group C","associate's degree","standard","none","80","69","71"
"female","group A","bachelor's degree","free/reduced","none","39","54","48"
"male","group E","high school","standard","completed","81","77","77"
"female","group C","some college","standard","none","73","68","72"
"male","group D","some high school","standard","none","72","63","59"
"female","group D","some college","standard","none","45","54","49"
"male","group C","associate's degree","free/reduced","completed","78","74","69"
"female","group B","associate's degree","standard","none","70","82","77"
"male","group B","bachelor's degree","free/reduced","none","65","54","51"
"male","group B","master's degree","free/reduced","completed","58","57","54"
"male","group C","associate's degree","standard","none","66","55","59"
"male","group D","some college","free/reduced","none","70","81","76"
"male","group D","associate's degree","standard","completed","76","82","74"
"male","group C","associate's degree","free/reduced","completed","67","62","65"
"male","group A","bachelor's degree","free/reduced","none","41","42","38"
"male","group B","associate's degree","free/reduced","completed","60","72","69"
"male","group C","high school","free/reduced","none","63","68","57"
"male","group D","associate's degree","standard","none","88","86","87"
"male","group D","some high school","standard","none","72","70","68"
"female","group B","associate's degree","standard","completed","88","97","100"
"male","group D","high school","free/reduced","none","58","54","49"
"male","group E","bachelor's degree","free/reduced","none","83","80","72"
"female","group B","associate's degree","standard","completed","63","79","77"
"male","group D","some high school","standard","none","76","72","65"
"male","group D","associate's degree","standard","completed","81","73","69"
"female","group C","some high school","standard","none","60","58","56"
"female","group D","associate's degree","free/reduced","none","49","63","59"
"male","group C","high school","standard","completed","73","72","75"
"female","group B","some college","standard","none","74","74","77"
"female","group B","high school","standard","none","64","71","66"
"female","group D","high school","standard","completed","71","68","76"
"female","group B","bachelor's degree","standard","completed","81","94","98"
"male","group B","associate's degree","free/reduced","completed","72","77","71"
"female","group C","associate's degree","free/reduced","none","35","38","42"
"male","group B","some high school","standard","completed","83","77","80"
"female","group C","high school","free/reduced","completed","65","86","83"
"male","group B","master's degree","standard","none","80","73","75"
"male","group C","high school","standard","none","55","48","50"
"male","group B","master's degree","standard","none","84","72","74"
"female","group B","some college","standard","none","61","69","70"
"female","group A","bachelor's degree","standard","none","49","60","57"
"male","group D","bachelor's degree","standard","completed","72","73","72"
"female","group D","some high school","free/reduced","none","64","74","75"
"male","group C","associate's degree","standard","none","62","51","50"
"male","group D","some college","standard","none","68","74","68"
"female","group E","bachelor's degree","free/reduced","none","75","80","78"
"male","group D","high school","standard","none","86","87","81"
"female","group B","some high school","standard","none","58","60","63"
"female","group B","bachelor's degree","free/reduced","completed","67","88","87"
"female","group C","some high school","free/reduced","none","53","63","62"
"male","group B","some college","standard","completed","89","82","79"
"female","group A","master's degree","standard","none","65","80","71"
"male","group B","some college","standard","none","75","65","61"
"female","group D","high school","standard","none","41","59","55"
"male","group D","high school","free/reduced","none","35","26","24"
"male","group D","some college","free/reduced","none","49","51","45"
"female","group C","some college","standard","none","56","62","61"
"female","group C","some high school","standard","none","45","55","46"
"male","group C","master's degree","standard","none","66","58","57"
"male","group D","some high school","standard","none","63","66","63"
"female","group E","high school","free/reduced","completed","63","73","68"
"female","group D","bachelor's degree","standard","none","56","65","71"
"female","group D","bachelor's degree","free/reduced","none","69","84","88"
"male","group D","master's degree","standard","completed","68","75","74"
"female","group B","some high school","free/reduced","none","39","56","52"
"male","group E","some college","free/reduced","completed","82","80","75"
"male","group B","bachelor's degree","standard","none","71","77","66"
"male","group C","some high school","standard","completed","73","81","78"
"female","group C","associate's degree","standard","none","66","77","79"
"male","group D","associate's degree","standard","none","51","48","48"
"female","group C","some college","standard","completed","73","69","76"
"female","group D","associate's degree","standard","none","60","60","64"
"male","group A","some high school","standard","none","46","48","46"
"female","group B","some high school","standard","none","45","64","52"
"male","group E","high school","standard","completed","62","60","62"
"male","group B","some high school","standard","completed","64","63","62"
"male","group C","associate's degree","standard","none","66","74","69"
"female","group C","associate's degree","standard","completed","57","63","63"
"male","group D","associate's degree","standard","none","83","78","75"
"male","group C","some high school","standard","none","74","76","69"
"male","group C","high school","standard","none","77","81","71"
"female","group D","some high school","standard","none","81","85","81"
"male","group D","some college","free/reduced","completed","53","52","59"
"female","group B","high school","free/reduced","none","64","80","69"
"female","group C","some college","standard","completed","91","94","100"
"female","group D","some college","standard","none","74","74","74"
"male","group D","bachelor's degree","standard","none","83","78","72"
"male","group D","some high school","standard","none","84","70","75"
"female","group B","high school","standard","none","67","78","70"
"female","group A","associate's degree","free/reduced","none","51","70","66"
"male","group E","bachelor's degree","standard","none","90","75","76"
"male","group D","some high school","standard","none","47","38","32"
"male","group E","bachelor's degree","free/reduced","none","59","61","58"
"female","group B","some college","standard","none","40","48","51"
"male","group D","bachelor's degree","standard","completed","100","93","94"
"female","group B","some college","standard","completed","69","67","71"
"female","group E","bachelor's degree","free/reduced","completed","60","67","74"
"female","group D","some high school","standard","none","63","65","72"
"male","group B","bachelor's degree","free/reduced","none","69","70","60"
"female","group C","some college","standard","none","60","67","64"
"female","group A","associate's degree","standard","none","85","97","91"
"male","group C","some college","standard","none","88","82","75"
"female","group A","some high school","standard","none","59","72","70"
"male","group C","high school","standard","completed","54","57","53"
"male","group C","some college","standard","none","83","81","79"
"male","group D","some college","standard","none","90","77","77"
"male","group E","some college","standard","none","76","63","64"
"male","group E","associate's degree","free/reduced","completed","61","59","57"
"female","group C","some high school","standard","none","83","86","87"
"male","group B","some high school","standard","completed","88","77","71"
"male","group C","some college","standard","none","62","50","49"
"male","group B","bachelor's degree","free/reduced","none","48","50","45"
"male","group C","some high school","standard","completed","63","67","64"
"male","group A","master's degree","standard","none","92","81","80"
"male","group D","master's degree","standard","completed","78","83","83"
"female","group B","associate's degree","standard","none","60","72","68"
"male","group C","master's degree","free/reduced","none","64","71","66"
"male","group B","some college","standard","completed","82","67","73"
"female","group D","bachelor's degree","free/reduced","completed","58","72","72"
"male","group D","some college","standard","none","50","50","53"
"male","group E","some college","free/reduced","completed","97","86","85"
"male","group E","bachelor's degree","standard","none","89","73","75"
"male","group E","associate's degree","standard","completed","94","91","91"
"female","group B","some high school","standard","completed","59","64","64"
"male","group B","some college","standard","none","80","68","67"
"female","group B","associate's degree","free/reduced","none","45","50","54"
"male","group C","some college","standard","completed","78","80","83"
"female","group C","associate's degree","free/reduced","none","65","62","63"
"female","group D","high school","standard","none","43","49","47"
"male","group D","master's degree","standard","none","83","86","84"
"male","group E","master's degree","standard","none","82","79","71"
"female","group C","bachelor's degree","standard","none","77","88","88"
"female","group D","high school","free/reduced","completed","60","73","76"
"male","group D","associate's degree","standard","none","68","58","64"
"male","group E","some college","standard","completed","77","68","68"
"female","group D","high school","standard","none","68","82","79"
"male","group D","associate's degree","standard","none","84","82","76"
"male","group E","high school","standard","none","61","55","49"
"female","group E","associate's degree","standard","completed","80","89","91"
"male","group C","high school","standard","completed","78","87","83"
"male","group E","high school","standard","completed","92","80","88"
"female","group C","some college","standard","completed","80","96","99"
"male","group B","some college","standard","none","85","76","74"
"female","group D","some high school","standard","none","80","91","85"
"male","group C","bachelor's degree","free/reduced","none","49","42","45"
"female","group E","some college","free/reduced","none","54","53","50"
"female","group A","high school","standard","none","64","75","73"
"male","group E","bachelor's degree","free/reduced","completed","81","78","81"
"male","group D","some college","standard","none","83","84","82"
"male","group D","some college","standard","completed","77","78","82"
"female","group D","associate's degree","standard","none","98","100","99"
"male","group B","master's degree","free/reduced","none","49","62","53"
"male","group D","some high school","free/reduced","none","70","73","68"
"female","group D","some college","standard","completed","71","83","85"
"female","group D","high school","free/reduced","completed","77","97","96"
"male","group D","master's degree","standard","none","67","61","68"
"male","group D","some college","free/reduced","none","68","63","64"
"female","group C","master's degree","standard","completed","62","62","68"
"male","group D","some college","free/reduced","none","67","58","57"
"male","group B","associate's degree","free/reduced","completed","55","63","55"
"male","group D","some high school","standard","completed","69","65","64"
"female","group D","some high school","free/reduced","completed","39","55","55"
"female","group D","some high school","standard","none","77","78","83"
"female","group A","bachelor's degree","standard","completed","64","81","82"
"female","group D","some college","free/reduced","none","50","67","60"
"male","group C","some high school","free/reduced","completed","51","51","49"
"male","group D","some college","standard","none","100","80","80"
"female","group B","master's degree","standard","none","62","80","82"
"female","group B","master's degree","standard","none","89","94","94"
"male","group B","associate's degree","standard","completed","55","62","57"
"female","group C","some college","standard","none","80","76","81"
"female","group B","some high school","standard","none","50","52","53"
"male","group B","associate's degree","standard","none","79","76","74"
"female","group B","bachelor's degree","free/reduced","none","56","67","67"
"female","group B","some college","standard","completed","69","73","76"
"female","group B","some college","free/reduced","completed","66","66","73"
"male","group B","some college","standard","completed","75","76","76"
"female","group A","master's degree","standard","none","83","97","93"
"female","group C","associate's degree","standard","completed","81","91","97"
"male","group B","bachelor's degree","standard","none","61","65","64"
"male","group C","some high school","free/reduced","none","29","29","23"
"male","group D","master's degree","standard","none","66","62","60"
"male","group C","some college","standard","none","77","65","63"
"male","group C","bachelor's degree","standard","none","67","60","64"
"male","group B","associate's degree","standard","completed","84","79","88"
"male","group E","associate's degree","standard","completed","100","95","93"
"female","group D","associate's degree","standard","none","72","85","87"
"female","group C","some high school","free/reduced","none","64","77","76"
"female","group C","associate's degree","free/reduced","none","50","57","58"
"male","group C","some college","free/reduced","none","64","62","53"
"male","group C","bachelor's degree","free/reduced","completed","64","69","66"
"female","group A","some college","standard","completed","53","77","70"
"male","group B","high school","standard","none","91","88","84"
